id,source,section,rule,primary,secondary,object,test_id,test_level,test,status,phase,note
I-90,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,Recall candidateであることだけではsalienceを上げない,Projection / Memory evaluator,—,salience contribution rules,INV-I-90,unit,candidateのみのusageでsalienceが増えない,RUNTIME-SPEC,Runtime-5,
I-91,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,stage dependencyに使ったmeta claimの事後status変化は過去stageを無効化せず、integrity finding / automatic quarantineを生成しない,Scheduler / Reassessment,—,dependency change detector,INV-I-91,integration,meta status変化でstageを戻さずfinding/quarantineせず再評価候補化,RUNTIME-SPEC,Runtime-6,
I-92,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,Projection watermarkは、そのProjection全体の再構築結果を決めるversioned Canonical dependencyの完全な集合を`projection_watermark_dependencies`として保持し、不一致をfull rebuild条件とする,Projection Coordinator,—,projection_watermark_dependencies,INV-I-92,projection negative,期待dependency欠落/余剰/解決不能でfull rebuild/fail closed,RUNTIME-SPEC,Runtime-4,
I-93,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,settled direct claimはautomatic `explicit_correction`でinvalidatedせず、external alignmentを満たしてsettledへ到達したreplacement direct claimによる`explicit_supersession`だけをautomaticで許可する,Canonical Writer,—,settled direct status validator,INV-I-93,writer negative,settled directのautomatic correctionを拒否し正規replacementだけ許可,RUNTIME-SPEC,Runtime-5,
I-94,mahoroba_datamodel_v0.2.14.md,13.10 v0.2.8 / v0.2.9 review継承,Recallのcandidate / selected / prompt_included等の実結果をCanonicalに記録するが、同一条件から同一選択を再計算できることは保証しない,Recall Runtime,Canonical Writer,recall_runs/claim_usages,INV-I-94,integration,実選択を保存し、再計算一致をacceptance条件にしない,RUNTIME-SPEC,Runtime-3,
I-95,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,meta claimのsettledは、perspective principal本人の`user_message`を直接参照するsupport evidenceを必要とする,Canonical Writer,—,meta settled gate,INV-I-95,writer negative,perspective本人user_message supportなしmeta settledを拒否,RUNTIME-SPEC,Runtime-5,
I-96,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,settled direct claimのautomatic supersessionは、replacementのsettled到達stage transition、`supersedes` relation、old claimのstatus transitionが同一Canonical Commitで成立する場合に限る。replacementが先行commitですでにsettledの場合はhuman decisionとする,Canonical Writer,—,replacement atomic UoW,INV-I-96,crash/integration,3操作の部分成立を残さず既settled replacementはhumanへ,RUNTIME-SPEC,Runtime-5,
I-97,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,各Projectionは期待するversioned dependency集合を宣言し、保存済み集合との完全一致を検査する,Projection Coordinator,CI registry audit,expected dependency registry,INV-I-97,unit,全Projectionに期待集合宣言があり完全一致を検査する,RUNTIME-SPEC,Runtime-4,
I-98,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,`claim_states`はpointwise / aggregateの二段規則で再生し、`runtime_states`はpolicy依存項目を永続化しないため、初期watermark dependencyを持たない,Projection Coordinator,—,claim_states/runtime_states rebuild rules,INV-I-98,projection golden,pointwise/aggregate二段再生とdependency 0件を検証,RUNTIME-SPEC,Runtime-4,
I-99,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,desired Sessionization Policyが`runtime_config`から失われた場合、既存watermark dependencyからのみ復旧し、両方なければfail closedとする,Recovery Manager,Runtime config,sessionization policy recovery,INV-I-99,recovery integration,config欠落時watermarkから復旧し両方なしでfail closed,RUNTIME-SPEC,Runtime-4,
I-100,mahoroba_datamodel_v0.2.14.md,13.11 v0.2.9 review / v0.2.10追加制約,`projection_version`はProjection計算コードの版であり、Canonical definitionを持たない,Projection Coordinator / Build metadata,—,projection_version,INV-I-100,unit/static,code version変更でrebuildしCanonical definitionを要求しない,RUNTIME-SPEC,Runtime-4,
I-101,mahoroba_datamodel_v0.2.14.md,13.12 v0.2.10 review / v0.2.11追加制約,`claim_states`の集約・大域計算は、明示的`as_of`時点で有効だったmemory policy revisionを適用する。外部の現在選択を参照しない,Projection Coordinator,—,claim_states aggregate evaluator,INV-I-101,projection golden,as_of時点のactive memory policyでaggregateを再生する,RUNTIME-SPEC,Runtime-4,
I-102,mahoroba_datamodel_v0.2.14.md,13.13 v0.2.11 review / v0.2.12追加制約,`claim_states`は、保存済み`source_commit_seq`より後のCanonical Commitに対象residentのmemory policy revision activationが存在する場合、policy definitionの意味差分や実時計を解析せずfull rebuildする,Projection Coordinator,Canonical commit scan,claim_states rebuild trigger,INV-I-102,projection integration,watermark後のmemory policy activationでfull rebuildする,RUNTIME-SPEC,Runtime-4,
I-103,mahoroba_datamodel_v0.2.14.md,13.13 v0.2.11 review / v0.2.12追加制約,同一`projection_name / resident_id`の永続Projectionでは`as_of`を単調に進め、過去`as_of`評価の結果をProjection本体またはwatermarkへ書き戻さない,Projection Coordinator,—,watermark as_of guard,INV-I-103,projection negative,永続as_of後退を拒否しpast evaluationを書き戻さない,RUNTIME-SPEC,Runtime-4,
I-104,mahoroba_datamodel_v0.2.14.md,13.14 v0.2.12 review / v0.2.13追加制約,Canonicalへ記録するtransaction time（`recorded_at / committed_at / created_at`等）はsingle writer下の共通台帳時計から採番し、単調非減少とする。event timeおよびvalid timeには単調性を要求しない,Canonical Writer,—,ledger clock,INV-I-104,property/restart,全transaction timeが単調非減少かつUoW内同一,RUNTIME-SPEC,Runtime-1,
I-105,mahoroba_datamodel_v0.2.14.md,13.14 v0.2.12 review / v0.2.13追加制約,resident revision activationはrevision classを問わず非遡及とし、activation instantを`resident_revision_activations.recorded_at`とする。過去へ遡るeffective timeを持たない,Canonical Writer,SQLite schema lacks effective_at,revision activation,INV-I-105,writer negative,過去effective timeを持つactivationを許可しない,SPECIFIED,Runtime-2,
I-106,mahoroba_datamodel_v0.2.14.md,13.15 v0.2.13 review / v0.2.14追加制約,初期4 event typeはcontent objectを必ず一件参照し、`events.content_id`をNOT NULLとする。content消去後も参照を保持し、消去を`content_id`のNULL化で表現しない,SQLite DDL,Erasure Coordinator,events.content_id NOT NULL FK,INV-I-106,SQL negative + erasure integration,content_id NULLを拒否し消去後も参照を保持する,DDL-IMPLEMENTED,SQL-2,
RT-I-1,mahoroba_runtime_execution_model_v0.1.2.md,,Canonical mutationは一つのCanonical Writerだけが実行する,Architecture / Canonical Writer,CI,single writer construction,INV-RTI-1,concurrency integration,並行commandでもDB mutation executorが1つだけ,RUNTIME-SPEC,Runtime-1,
RT-I-2,mahoroba_runtime_execution_model_v0.1.2.md,,Canonical Writer内で外部network callを行わない,Architecture / Canonical Writer,CI static rule,writer API,INV-RTI-2,unit/static,writer callback内network mock呼出しを禁止する,RUNTIME-SPEC,Runtime-1,
RT-I-3,mahoroba_runtime_execution_model_v0.1.2.md,,一つのCanonical Unit of Workは一つのCanonical Commitに対応する,Canonical Writer,SQLite transaction,UoW abstraction,INV-RTI-3,integration,1 commandがcommit 1件だけ生成する,RUNTIME-SPEC,Runtime-1,
RT-I-4,mahoroba_runtime_execution_model_v0.1.2.md,,同一Unit of Workの全[C] rowは同じ`canonical_commit_id`を持つ,Canonical Writer,SQLite FK,UoW rows,INV-RTI-4,integration,同一UoWの全[C] rowが同一commit_id,RUNTIME-SPEC,Runtime-1,
RT-I-5,mahoroba_runtime_execution_model_v0.1.2.md,,`commit_seq / event.seq / ledger_time`を同じsingle writer境界で採番する,Canonical Writer,SQLite unique constraints,sequence/clock allocator,INV-RTI-5,property/concurrency,commit_seq/event.seq/ledger_timeを同じ排他境界で採る,RUNTIME-SPEC,Runtime-1,
RT-I-6,mahoroba_runtime_execution_model_v0.1.2.md,,generation inputsと`prompt_included` usageをprovider呼び出し前にcommitする,Runtime Coordinator,Canonical Writer,PrepareGeneration,INV-RTI-6,provider-spy integration,provider呼出前にinputs/usageがdurable,RUNTIME-SPEC,Runtime-3,
RT-I-7,mahoroba_runtime_execution_model_v0.1.2.md,,generation run envelopeをretryで変更しない。入力変更時は新runを作る,Generation Runtime,SQLite append-only,retry flow,INV-RTI-7,integration,retryでrun envelopeが不変、入力変更でnew run,RUNTIME-SPEC,Runtime-3,
RT-I-8,mahoroba_runtime_execution_model_v0.1.2.md,,一attemptは一つのrunning outcomeと最大一つのterminal outcomeを持つ,SQLite DDL,Generation Runtime,uq_generation_run_outcomes_running/terminal,INV-RTI-8,SQL negative,同attemptのrunning/terminal二重挿入を拒否,VERIFIED,SQL-2/Runtime-3,監査で部分UNIQUEを実測
RT-I-9,mahoroba_runtime_execution_model_v0.1.2.md,,event生成purposeの`succeeded` outcomeとeventは同一commitで成立する,Canonical Writer,—,event Success Landing,INV-RTI-9,crash/integration,succeeded outcome/eventの片方だけを残さない,RUNTIME-SPEC,Runtime-3,
RT-I-10,mahoroba_runtime_execution_model_v0.1.2.md,,non-event purposeの`succeeded`はpurpose固有Canonical効果までlandingしたことを意味する,Purpose Landing Handler,Canonical Writer,purpose contract,INV-RTI-10,integration,Canonical効果なしのnon-event succeededを拒否,RUNTIME-SPEC,Runtime-3/5,
RT-I-11,mahoroba_runtime_execution_model_v0.1.2.md,,UI provisional outputをCanonical event・evidence・TTSの確定入力として扱わない,HTTP/SSE Runtime,Canonical Writer,provisional stream,INV-RTI-11,integration,provisionalがevent/evidence/TTS確定入力にならない,RUNTIME-SPEC,Runtime-3,
RT-I-12,mahoroba_runtime_execution_model_v0.1.2.md,,in-memory work queueの消失でmandatory workを永久に失わない,Derived Work Coordinator,Recovery Manager,rediscovery predicates,INV-RTI-12,restart integration,queueを消して再起動後もmandatory workを再発見,RUNTIME-SPEC,Runtime-3,
RT-I-13,mahoroba_runtime_execution_model_v0.1.2.md,,mandatory obligation keyをpipeline / policy version変更だけで変えない,Derived Work Coordinator,—,obligation key builder,INV-RTI-13,unit,pipeline/policy変更で同sourceのobligation keyが変わらない,RUNTIME-SPEC,Runtime-3,
RT-I-14,mahoroba_runtime_execution_model_v0.1.2.md,,mandatory workはsuccessまたはterminal failure / cancellationのいずれかへ終端させる,Derived Work Coordinator,Recovery Manager,mandatory state machine,INV-RTI-14,integration,workがsuccess/terminal failure/cancelへ到達する,RUNTIME-SPEC,Runtime-3,
RT-I-15,mahoroba_runtime_execution_model_v0.1.2.md,,quiescent判定直前にCanonicalからmandatory workを再発見する,Quiescent Checker,Derived Work Coordinator,pre-quiescence scan,INV-RTI-15,integration,queue空でもCanonical pendingを見つけてquiescent拒否,RUNTIME-SPEC,Runtime-3/deferred branch,
RT-I-16,mahoroba_runtime_execution_model_v0.1.2.md,,Projection更新失敗でCanonical Commitをrollbackしない,Runtime Coordinator,Projection Coordinator,post-commit notification,INV-RTI-16,failure integration,Projection故障でCanonical commitが残る,RUNTIME-SPEC,Runtime-4,
RT-I-17,mahoroba_runtime_execution_model_v0.1.2.md,,Projection本体・watermark・dependency集合を同じProjection transactionで更新する,Projection Coordinator,SQLite transaction,projection tx,INV-RTI-17,crash/integration,本体/watermark/depsを原子的に更新,RUNTIME-SPEC,Runtime-4,
RT-I-18,mahoroba_runtime_execution_model_v0.1.2.md,,永続Projectionの`as_of`を後退させない,Projection Coordinator,—,as_of guard,INV-RTI-18,projection negative,stored as_ofより過去へ更新しない,RUNTIME-SPEC,Runtime-4,
RT-I-19,mahoroba_runtime_execution_model_v0.1.2.md,,stale / 未構築content_referencesを根拠にblob GCしない,Erasure Coordinator,Projection Coordinator,GC gate,INV-RTI-19,integration,stale/unbuilt refsでGCしない,RUNTIME-SPEC,Runtime-7,
RT-I-20,mahoroba_runtime_execution_model_v0.1.2.md,,startup時に旧processのrunning attemptをcancelledへ終端する,Recovery Manager,Canonical Writer,startup interrupted-run handler,INV-RTI-20,restart integration,running runへcancelled/runtime_interruptedを追記,RUNTIME-SPEC,Runtime-1/3,
RT-I-21,mahoroba_runtime_execution_model_v0.1.2.md,,quiescent判定はmandatory workとrunning attemptを対象とし、Projection遅延を含めない,Quiescent Checker,—,quiescence predicate,INV-RTI-21,integration,Projection遅延のみではquiescentを拒否しない,RUNTIME-SPEC,deferred branch,
RT-I-22,mahoroba_runtime_execution_model_v0.1.2.md,,self-talk eventだけでself-talk活動を無制限延命しない,Scheduler,Runtime policy,self-talk limiter,INV-RTI-22,scheduler simulation,self-talkだけで活動windowを無限延長しない,RUNTIME-SPEC,Runtime-6,
RT-I-23,mahoroba_runtime_execution_model_v0.1.2.md,,self-talk連続回数は新しい`user_message`でのみresetし、resident自身の生成eventではresetしない,Scheduler,Runtime policy,self-talk counter,INV-RTI-23,scheduler unit,user_messageだけでcounter resetする,RUNTIME-SPEC,Runtime-6,
RT-I-24,mahoroba_runtime_execution_model_v0.1.2.md,,self-talk retention policyはcontentを直接削除せず、通常のErasure候補へ送る,Retention Scheduler,Erasure Coordinator,retention candidate flow,INV-RTI-24,integration,retention expiryが直接DELETEせずErase候補を作る,RUNTIME-SPEC,Runtime-6/7,
RT-I-25,mahoroba_runtime_execution_model_v0.1.2.md,,Projection scheduling intervalの変更はProjection意味論を変えず、実行頻度だけを変える,Projection Scheduler,Projection Coordinator,interval config,INV-RTI-25,configuration/property,interval変更で同一target入力のProjection意味が変わらない,RUNTIME-SPEC,Runtime-4,
RT-I-26,mahoroba_runtime_execution_model_v0.1.2.md,,Content Erase / Resident Eraseをsystem principalやresident principalが自動実行しない,Permission / Erasure Coordinator,—,authorization table,INV-RTI-26,security negative,system/resident principalによる自動eraseを拒否,RUNTIME-SPEC,Runtime-7,
RT-I-27,mahoroba_runtime_execution_model_v0.1.2.md,,TTS失敗でtext eventのCanonical成功を取り消さない,TTS Adapter,Canonical event flow,TTS post-commit,INV-RTI-27,failure integration,TTS失敗後もtext eventは成功状態,RUNTIME-SPEC,Runtime-3,
RT-I-28,mahoroba_runtime_execution_model_v0.1.2.md,,Branch Copy Specが未確定の間、branch featureを有効化しない,Feature Gate,Admin/API,branch disabled flag,INV-RTI-28,API negative,Branch Copy Specなしでbranch command/UIを公開しない,DEFERRED,deferred branch,
RT-I-29,mahoroba_runtime_execution_model_v0.1.2.md,,time-sensitive Projectionでcommit catch-upとas-of再評価の両方が必要な場合、同一Projection transactionで両成分を完了し、Projection本体が表さないcursorをwatermarkへ記録しない,Projection Coordinator,SQLite transaction,Update Plan,INV-RTI-29,projection integration,両成分必要時に同一txで処理し未実行cursorを進めない,RUNTIME-SPEC,Runtime-4,
RT-I-30,mahoroba_runtime_execution_model_v0.1.2.md,,一つのCanonical Unit of Workでledger timeを一度だけ採番し、そのUoWに属する全transaction-time列へ同一値を書く,Canonical Writer,—,ledger time allocator,INV-RTI-30,property/restart,1 UoW内全transaction-time列が同一値,RUNTIME-SPEC,Runtime-1,
RT-I-31,mahoroba_runtime_execution_model_v0.1.2.md,,一回のgenerationで使用する`as_of / context_policy_version / memory_rendering_version`をAssembly開始時に固定し、同一Assembly中に読み直さず、その固定値をgeneration provenanceへ保存する,Context Assembler,Canonical Writer,Assembly Snapshot,INV-RTI-31,concurrency/integration,Assembly途中policy変更でも固定versionを使用・保存,RUNTIME-SPEC,Runtime-3,
U-1,mahoroba_review_ddl_v0_1.md,Accepted DDL safeguards,同一claimは同じstageへ高々一度だけ到達する,SQLite DDL,Canonical Writer,uq_claim_stage_transitions_stage,INV-U-1,SQL negative,同じclaim/to_stageの二重挿入を拒否する,VERIFIED-DDL-0.1.2,SQL-2 complete,I-10の物理防御; DDL v0.1.2 negative test verified
U-2a,mahoroba_review_ddl_v0_1.md,Accepted DDL safeguards,claim_evidenceはclaim/eventのresident scopeをまたがない,SQLite DDL,Canonical Writer,trg_claim_evidence_resident_scope,INV-U-2a,SQL negative,別resident eventをevidenceへ結ぶ挿入を拒否する,VERIFIED-DDL-0.1.2,SQL-2 complete,I-14; DDL v0.1.2 negative test verified
U-2b,mahoroba_review_ddl_v0_1.md,Accepted DDL safeguards,claim relationの両端は同一residentに属する,SQLite DDL,Canonical Writer,trg_claim_relations_resident_scope,INV-U-2b,SQL negative,別resident claims間relationを拒否する,VERIFIED-DDL-0.1.2,SQL-2 complete,I-14; DDL v0.1.2 negative test verified
U-2c,mahoroba_review_ddl_v0_1.md,Accepted DDL safeguards,stage dependency claimは対象claimと同一residentに属する,SQLite DDL,Canonical Writer,trg_claim_stage_dependency_resident_scope,INV-U-2c,SQL negative,別resident dependency claimを拒否する,VERIFIED-DDL-0.1.2,SQL-2 complete,I-14; DDL v0.1.2 negative test verified
U-2d,mahoroba_review_ddl_v0_1.md,Accepted Runtime safeguards,generation inputのsource entityはgeneration runと同一resident scopeに属する,Context Assembler / Canonical Writer,—,source_type-specific scope validator,INV-U-2d,writer negative,event/claim/revisionのcross-resident sourceを拒否する,PLANNED-RUNTIME,Runtime-3,I-14/I-35
U-3,mahoroba_review_ddl_v0_1.md,Verification governance,全I/RT-Iへ強制責任者・テスト・状態を割り当てる,CI / Design governance,All components,this matrix,INV-U-3,document/CI,ID欠落、owner未割当、test未定義をCIで拒否する,THIS-DOCUMENT,pre-implementation,Matrix v0.1.1 + Resident-Scope Reference Inventory v0.1; coverage clean
U-4,mahoroba_review_ddl_v0_1.md,Accepted DDL safeguards,Canonical Store内でalgorithm/domain/event_hashを一意にする,SQLite DDL,Canonical Writer,uq_events_event_hash,INV-U-4,SQL negative,同一algorithm/domain/hashの二重event挿入を拒否する,VERIFIED-DDL-0.1.2,SQL-2 complete,multi-userでもStore-wide。isolationとは別責務; DDL v0.1.2 negative test verified
